y,R_0,R_1,R_2,R_3,R_4,R_5
0.945556,0.590237,-0.0530396,0,0.590237,2.24205e-36,0.590237
0.961111,0.586712,-0.0378911,0,0.586712,2.24297e-36,0.586712
0.976667,0.58436,-0.0227396,0,0.58436,2.24384e-36,0.58436
0.992222,0.583181,-0.00758627,0,0.583181,2.24466e-36,0.583181
1.00778,0.583176,0.0075677,0,0.583176,2.24542e-36,0.583176
1.02333,0.584344,0.022721,0,0.584344,2.24611e-36,0.584344
1.03889,0.586685,0.0378725,0,0.586685,2.24675e-36,0.586685
1.05444,0.5902,0.0530209,0,0.5902,2.24733e-36,0.5902
1.07,0.594888,0.0681654,0,0.594888,2.24786e-36,0.594888
1.08556,0.600749,0.0833052,0,0.600749,2.24834e-36,0.600749
1.10111,0.60778,0.0984398,0,0.60778,2.24878e-36,0.60778
1.11667,0.615978,0.113569,0,0.615978,2.24919e-36,0.615978
1.13222,0.625337,0.128693,0,0.625337,2.24957e-36,0.625337
1.14778,0.635846,0.143812,0,0.635846,2.24994e-36,0.635846
1.16333,0.647495,0.158926,0,0.647495,2.25029e-36,0.647495
1.17889,0.660267,0.174036,0,0.660267,2.25064e-36,0.660267
1.19444,0.674142,0.189142,0,0.674142,2.251e-36,0.674142
1.21,0.689097,0.204246,0,0.689097,2.25136e-36,0.689097
1.22556,0.705105,0.219348,0,0.705105,2.25172e-36,0.705105
1.24111,0.722135,0.234448,0,0.722135,2.2521e-36,0.722135
1.25667,0.740154,0.249547,0,0.740154,2.25248e-36,0.740154
1.27222,0.759125,0.264646,0,0.759125,2.25287e-36,0.759125
1.28778,0.779009,0.279743,0,0.779009,2.25326e-36,0.779009
1.30333,0.799766,0.29484,0,0.799766,2.25366e-36,0.799766
1.31889,0.821357,0.309937,0,0.821357,2.25405e-36,0.821357
1.33444,0.843738,0.325032,0,0.843738,2.25443e-36,0.843738
1.35,0.866869,0.340124,0,0.866869,2.2548e-36,0.866869
1.36556,0.890708,0.355214,0,0.890708,2.25515e-36,0.890708
1.38111,0.915217,0.370301,0,0.915217,2.25548e-36,0.915217
1.39667,0.940356,0.385382,0,0.940356,2.25578e-36,0.940356
1.41222,0.966089,0.400458,0,0.966089,2.25605e-36,0.966089
1.42778,0.992381,0.415525,0,0.992381,2.25627e-36,0.992381
1.44333,1.0192,0.430584,0,1.0192,2.25645e-36,1.0192
1.45889,1.04651,0.445631,0,1.04651,2.25658e-36,1.04651
1.47444,1.07429,0.460666,0,1.07429,2.25666e-36,1.07429
1.49,1.10252,0.475685,0,1.10252,2.25667e-36,1.10252
1.50556,1.13116,0.490686,0,1.13116,2.25661e-36,1.13116
1.52111,1.1602,0.505667,0,1.1602,2.25647e-36,1.1602
1.53667,1.18961,0.520624,0,1.18961,2.25625e-36,1.18961
1.55222,1.21939,0.535555,0,1.21939,2.25593e-36,1.21939
1.56778,1.24953,0.550455,0,1.24953,2.25552e-36,1.24953
