   1   0.221198e+00   0.308821e-06   0.108495e-04
   2   0.449985e+00   0.471942e-05   0.921433e-04
   3   0.686799e+00   0.235528e-04   0.331442e-03
   4   0.932082e+00   0.739432e-04   0.837634e-03
   5   0.118628e+01   0.179810e-03   0.174288e-02
   6   0.144982e+01   0.371750e-03   0.320344e-02
   7   0.172316e+01   0.686823e-03   0.539905e-02
   8   0.200675e+01   0.116824e-02   0.853032e-02
   9   0.230102e+01   0.186492e-02   0.128141e-01
  10   0.260640e+01   0.283092e-02   0.184767e-01
  11   0.292334e+01   0.412484e-02   0.257445e-01
  12   0.325227e+01   0.580896e-02   0.348341e-01
  13   0.359363e+01   0.794854e-02   0.459400e-01
  14   0.394783e+01   0.106108e-01   0.592232e-01
  15   0.431530e+01   0.138643e-01   0.748002e-01
  16   0.469644e+01   0.177774e-01   0.927338e-01
  17   0.509167e+01   0.224182e-01   0.113026e+00
  18   0.550139e+01   0.278530e-01   0.135615e+00
  19   0.592599e+01   0.341457e-01   0.160376e+00
  20   0.636586e+01   0.413569e-01   0.187121e+00
  21   0.682136e+01   0.495433e-01   0.215611e+00
  22   0.729288e+01   0.587563e-01   0.245560e+00
  23   0.778075e+01   0.690419e-01   0.276652e+00
  24   0.828536e+01   0.804391e-01   0.308549e+00
  25   0.880700e+01   0.929793e-01   0.340906e+00
  26   0.934594e+01   0.106686e+00   0.373381e+00
  27   0.990265e+01   0.121572e+00   0.405652e+00
  28   0.104773e+02   0.137641e+00   0.437420e+00
  29   0.110702e+02   0.154886e+00   0.468419e+00
  30   0.116817e+02   0.173289e+00   0.498418e+00
  31   0.123120e+02   0.192818e+00   0.527230e+00
  32   0.129614e+02   0.213430e+00   0.554704e+00
  33   0.136299e+02   0.235071e+00   0.580731e+00
  34   0.143181e+02   0.257676e+00   0.605235e+00
  35   0.150260e+02   0.281168e+00   0.628177e+00
  36   0.157538e+02   0.305459e+00   0.649541e+00
  37   0.165017e+02   0.330456e+00   0.669341e+00
  38   0.172699e+02   0.356055e+00   0.687607e+00
  39   0.180585e+02   0.382151e+00   0.704387e+00
  40   0.188676e+02   0.408632e+00   0.719737e+00
  41   0.196974e+02   0.435385e+00   0.733726e+00
  42   0.205480e+02   0.462296e+00   0.746424e+00
  43   0.214194e+02   0.489256e+00   0.757905e+00
  44   0.223118e+02   0.516153e+00   0.768244e+00
  45   0.232253e+02   0.542885e+00   0.777515e+00
  46   0.241598e+02   0.569349e+00   0.785789e+00
  47   0.251154e+02   0.595452e+00   0.793137e+00
  48   0.260922e+02   0.621101e+00   0.799624e+00
  49   0.270900e+02   0.646211e+00   0.805315e+00
  50   0.281091e+02   0.670704e+00   0.810269e+00
  51   0.291493e+02   0.694504e+00   0.814542e+00
  52   0.302105e+02   0.717548e+00   0.818182e+00
  53   0.312927e+02   0.739775e+00   0.821239e+00
  54   0.323959e+02   0.761140e+00   0.823753e+00
  55   0.335201e+02   0.781603e+00   0.825762e+00
  56   0.346650e+02   0.801136e+00   0.827300e+00
  57   0.358308e+02   0.819719e+00   0.828399e+00
  58   0.370170e+02   0.837347e+00   0.829086e+00
  59   0.382238e+02   0.854017e+00   0.829389e+00
  60   0.394510e+02   0.869736e+00   0.829339e+00
  61   0.406984e+02   0.884515e+00   0.828965e+00
  62   0.419660e+02   0.898366e+00   0.828297e+00
  63   0.432534e+02   0.911302e+00   0.827360e+00
  64   0.445606e+02   0.923342e+00   0.826179e+00
  65   0.458873e+02   0.934502e+00   0.824773e+00
  66   0.472334e+02   0.944798e+00   0.823162e+00
  67   0.485987e+02   0.954256e+00   0.821360e+00
  68   0.499830e+02   0.962897e+00   0.819381e+00
  69   0.513860e+02   0.970751e+00   0.817235e+00
  70   0.528076e+02   0.977845e+00   0.814930e+00
  71   0.542476e+02   0.984209e+00   0.812474e+00
  72   0.557055e+02   0.989870e+00   0.809875e+00
  73   0.571813e+02   0.994861e+00   0.807143e+00
  74   0.586748e+02   0.999208e+00   0.804284e+00
  75   0.601855e+02   0.100294e+01   0.801306e+00
  76   0.617134e+02   0.100608e+01   0.798218e+00
  77   0.632581e+02   0.100866e+01   0.795025e+00
  78   0.648193e+02   0.101070e+01   0.791734e+00
  79   0.663968e+02   0.101221e+01   0.788351e+00
  80   0.679904e+02   0.101324e+01   0.784883e+00
  81   0.695996e+02   0.101382e+01   0.781334e+00
  82   0.712244e+02   0.101397e+01   0.777709e+00
  83   0.728643e+02   0.101371e+01   0.774012e+00
  84   0.745191e+02   0.101307e+01   0.770247e+00
  85   0.761885e+02   0.101208e+01   0.766418e+00
  86   0.778724e+02   0.101076e+01   0.762529e+00
  87   0.795704e+02   0.100914e+01   0.758584e+00
  88   0.812815e+02   0.100722e+01   0.754588e+00
  89   0.830069e+02   0.100503e+01   0.750544e+00
  90   0.847449e+02   0.100260e+01   0.746452e+00
  91   0.864955e+02   0.999931e+00   0.742314e+00
  92   0.882596e+02   0.997044e+00   0.738128e+00
  93   0.900355e+02   0.993950e+00   0.733900e+00
  94   0.918233e+02   0.990665e+00   0.729636e+00
  95   0.936229e+02   0.987204e+00   0.725338e+00
  96   0.954344e+02   0.983584e+00   0.721011e+00
  97   0.972569e+02   0.979825e+00   0.716655e+00
  98   0.990897e+02   0.975944e+00   0.712270e+00
  99   0.100934e+03   0.971955e+00   0.707852e+00
 100   0.102788e+03   0.967871e+00   0.703401e+00
 101   0.104652e+03   0.963697e+00   0.698914e+00
 102   0.106526e+03   0.959440e+00   0.694392e+00
 103   0.108409e+03   0.955106e+00   0.689837e+00
