0.110599e+00   0.765954e-03
0.335591e+00   0.648008e-02
0.568392e+00   0.174795e-01
0.809442e+00   0.334121e-01
0.105918e+01   0.539217e-01
0.131805e+01   0.786443e-01
0.158649e+01   0.107206e+00
0.186496e+01   0.139225e+00
0.215388e+01   0.174310e+00
0.245371e+01   0.212070e+00
0.276487e+01   0.252115e+00
0.308781e+01   0.294068e+00
0.342295e+01   0.337564e+00
0.377073e+01   0.382269e+00
0.413156e+01   0.427872e+00
0.450587e+01   0.474104e+00
0.489406e+01   0.520730e+00
0.529653e+01   0.567554e+00
0.571369e+01   0.614418e+00
0.614592e+01   0.661196e+00
0.659361e+01   0.707791e+00
0.705712e+01   0.754126e+00
0.753681e+01   0.800140e+00
0.803304e+01   0.845773e+00
0.854614e+01   0.890973e+00
0.907647e+01   0.935677e+00
0.962433e+01   0.979815e+00
0.101900e+02   0.102330e+01
0.107738e+02   0.106604e+01
0.113760e+02   0.110794e+01
0.119969e+02   0.114886e+01
0.126367e+02   0.118869e+01
0.132956e+02   0.122730e+01
0.139741e+02   0.126458e+01
0.146720e+02   0.130041e+01
0.153899e+02   0.133468e+01
0.161278e+02   0.136732e+01
0.168858e+02   0.139823e+01
0.176642e+02   0.142738e+01
0.184630e+02   0.145471e+01
0.192825e+02   0.148023e+01
0.201226e+02   0.150392e+01
0.209837e+02   0.152582e+01
0.218656e+02   0.154594e+01
0.227686e+02   0.156433e+01
0.236926e+02   0.158105e+01
0.246377e+02   0.159615e+01
0.256038e+02   0.160972e+01
0.265912e+02   0.162182e+01
0.275996e+02   0.163251e+01
0.286292e+02   0.164187e+01
0.296798e+02   0.164998e+01
0.307516e+02   0.165690e+01
0.318443e+02   0.166269e+01
0.329580e+02   0.166742e+01
0.340926e+02   0.167114e+01
0.352479e+02   0.167386e+01
0.364239e+02   0.167565e+01
0.376204e+02   0.167650e+01
0.388374e+02   0.167643e+01
0.400747e+02   0.167546e+01
0.413322e+02   0.167365e+01
0.426097e+02   0.167102e+01
0.439069e+02   0.166761e+01
0.452239e+02   0.166348e+01
0.465603e+02   0.165867e+01
0.479160e+02   0.165325e+01
0.492909e+02   0.164729e+01
0.506845e+02   0.164086e+01
0.520969e+02   0.163406e+01
0.535276e+02   0.162696e+01
0.549765e+02   0.161963e+01
0.564434e+02   0.161208e+01
0.579281e+02   0.160435e+01
0.594301e+02   0.159645e+01
0.609494e+02   0.158839e+01
0.624858e+02   0.158020e+01
0.640387e+02   0.157194e+01
0.656081e+02   0.156364e+01
0.671936e+02   0.155533e+01
0.687950e+02   0.154702e+01
0.704121e+02   0.153869e+01
0.720444e+02   0.153029e+01
0.736918e+02   0.152180e+01
0.753538e+02   0.151317e+01
0.770305e+02   0.150440e+01
0.787212e+02   0.149547e+01
0.804260e+02   0.148644e+01
0.821442e+02   0.147735e+01
0.838759e+02   0.146825e+01
0.856202e+02   0.145918e+01
0.873779e+02   0.145014e+01
0.891475e+02   0.144114e+01
0.909298e+02   0.143216e+01
0.927231e+02   0.142319e+01
0.945290e+02   0.141416e+01
0.963452e+02   0.140499e+01
0.981733e+02   0.139562e+01
0.100012e+03   0.138600e+01
0.101861e+03   0.137611e+01
0.103720e+03   0.136598e+01
0.105589e+03   0.135566e+01
0.107468e+03   0.134519e+01
0.109356e+03   0.133465e+01
0.111253e+03   0.132401e+01
0.113160e+03   0.131333e+01
0.115074e+03   0.130257e+01
0.116997e+03   0.129177e+01
0.118928e+03   0.128096e+01
0.120868e+03   0.127019e+01
0.122814e+03   0.125949e+01
0.124768e+03   0.124891e+01
0.126729e+03   0.123844e+01
0.128697e+03   0.122811e+01
0.130672e+03   0.121792e+01
0.132654e+03   0.120789e+01
0.134641e+03   0.119801e+01
0.136635e+03   0.118824e+01
0.138635e+03   0.117857e+01
0.140640e+03   0.116892e+01
0.142650e+03   0.115931e+01
0.144666e+03   0.114971e+01
0.146686e+03   0.114013e+01
0.148713e+03   0.113057e+01
0.150743e+03   0.112102e+01
0.152778e+03   0.111145e+01
0.154817e+03   0.110181e+01
0.156861e+03   0.109211e+01
0.158909e+03   0.108235e+01
0.160959e+03   0.107255e+01
0.163015e+03   0.106278e+01
0.165074e+03   0.105304e+01
0.167136e+03   0.104337e+01
0.169201e+03   0.103373e+01
0.171269e+03   0.102413e+01
0.173340e+03   0.101455e+01
0.175415e+03   0.100498e+01
0.177492e+03   0.995429e+00
0.179572e+03   0.985882e+00
0.181654e+03   0.976340e+00
0.183739e+03   0.966805e+00
0.185825e+03   0.957294e+00
0.187915e+03   0.947842e+00
0.190006e+03   0.938484e+00
0.192100e+03   0.929237e+00
0.194195e+03   0.920096e+00
0.196291e+03   0.911037e+00
0.198390e+03   0.902028e+00
0.200490e+03   0.893035e+00
0.202592e+03   0.884032e+00
0.204695e+03   0.874999e+00
0.206801e+03   0.865929e+00
0.208907e+03   0.856829e+00
0.211014e+03   0.847722e+00
0.213122e+03   0.838640e+00
0.215232e+03   0.829613e+00
0.217343e+03   0.820663e+00
0.219456e+03   0.811810e+00
0.221568e+03   0.803061e+00
0.223682e+03   0.794427e+00
0.225797e+03   0.785909e+00
0.227913e+03   0.777507e+00
0.230029e+03   0.769217e+00
0.232146e+03   0.761035e+00
0.234264e+03   0.752953e+00
0.236382e+03   0.744967e+00
0.238502e+03   0.737077e+00
0.240621e+03   0.729285e+00
0.242742e+03   0.721585e+00
0.244863e+03   0.713965e+00
0.246984e+03   0.706395e+00
0.249106e+03   0.698859e+00
0.251229e+03   0.691342e+00
0.253351e+03   0.683850e+00
0.255475e+03   0.676397e+00
