# y+ ()       
# Time        	patch         	min           	max           	average       
46            	bottom	5.265498e-01	5.265498e-01	5.265498e-01
46            	top	5.265889e-01	5.265889e-01	5.265889e-01
47            	bottom	5.266421e-01	5.266421e-01	5.266421e-01
47            	top	5.266439e-01	5.266439e-01	5.266439e-01
48            	bottom	5.267044e-01	5.267044e-01	5.267044e-01
48            	top	5.266876e-01	5.266876e-01	5.266876e-01
49            	bottom	5.267916e-01	5.267916e-01	5.267916e-01
49            	top	5.267708e-01	5.267708e-01	5.267708e-01
50            	bottom	5.267846e-01	5.267846e-01	5.267846e-01
50            	top	5.267898e-01	5.267898e-01	5.267898e-01
51            	bottom	5.268670e-01	5.268670e-01	5.268670e-01
51            	top	5.268742e-01	5.268742e-01	5.268742e-01
52            	bottom	5.269218e-01	5.269218e-01	5.269218e-01
52            	top	5.268921e-01	5.268921e-01	5.268921e-01
53            	bottom	5.269409e-01	5.269409e-01	5.269409e-01
53            	top	5.269529e-01	5.269529e-01	5.269529e-01
54            	bottom	5.269542e-01	5.269542e-01	5.269542e-01
54            	top	5.269811e-01	5.269811e-01	5.269811e-01
55            	bottom	5.269826e-01	5.269826e-01	5.269826e-01
55            	top	5.270035e-01	5.270035e-01	5.270035e-01
56            	bottom	5.270080e-01	5.270080e-01	5.270080e-01
56            	top	5.270223e-01	5.270223e-01	5.270223e-01
57            	bottom	5.270623e-01	5.270623e-01	5.270623e-01
57            	top	5.270643e-01	5.270643e-01	5.270643e-01
58            	bottom	5.271157e-01	5.271157e-01	5.271157e-01
58            	top	5.270564e-01	5.270564e-01	5.270564e-01
59            	bottom	5.271210e-01	5.271210e-01	5.271210e-01
59            	top	5.271347e-01	5.271347e-01	5.271347e-01
60            	bottom	5.271614e-01	5.271614e-01	5.271614e-01
60            	top	5.271792e-01	5.271792e-01	5.271792e-01
61            	bottom	5.271690e-01	5.271690e-01	5.271690e-01
61            	top	5.272093e-01	5.272093e-01	5.272093e-01
62            	bottom	5.271727e-01	5.271727e-01	5.271727e-01
62            	top	5.271437e-01	5.271437e-01	5.271437e-01
63            	bottom	5.271829e-01	5.271829e-01	5.271829e-01
63            	top	5.271618e-01	5.271618e-01	5.271618e-01
64            	bottom	5.271932e-01	5.271932e-01	5.271932e-01
64            	top	5.271756e-01	5.271756e-01	5.271756e-01
65            	bottom	5.272073e-01	5.272073e-01	5.272073e-01
65            	top	5.271980e-01	5.271980e-01	5.271980e-01
66            	bottom	5.272268e-01	5.272268e-01	5.272268e-01
66            	top	5.272284e-01	5.272284e-01	5.272284e-01
67            	bottom	5.272735e-01	5.272735e-01	5.272735e-01
67            	top	5.272868e-01	5.272868e-01	5.272868e-01
68            	bottom	5.272695e-01	5.272695e-01	5.272695e-01
68            	top	5.272924e-01	5.272924e-01	5.272924e-01
69            	bottom	5.272777e-01	5.272777e-01	5.272777e-01
69            	top	5.272974e-01	5.272974e-01	5.272974e-01
70            	bottom	5.272827e-01	5.272827e-01	5.272827e-01
70            	top	5.273001e-01	5.273001e-01	5.273001e-01
71            	bottom	5.272906e-01	5.272906e-01	5.272906e-01
71            	top	5.273052e-01	5.273052e-01	5.273052e-01
72            	bottom	5.272999e-01	5.272999e-01	5.272999e-01
72            	top	5.273115e-01	5.273115e-01	5.273115e-01
73            	bottom	5.273102e-01	5.273102e-01	5.273102e-01
73            	top	5.273187e-01	5.273187e-01	5.273187e-01
74            	bottom	5.273319e-01	5.273319e-01	5.273319e-01
74            	top	5.273327e-01	5.273327e-01	5.273327e-01
75            	bottom	5.273662e-01	5.273662e-01	5.273662e-01
75            	top	5.273567e-01	5.273567e-01	5.273567e-01
76            	bottom	5.273414e-01	5.273414e-01	5.273414e-01
76            	top	5.273304e-01	5.273304e-01	5.273304e-01
77            	bottom	5.273572e-01	5.273572e-01	5.273572e-01
77            	top	5.273459e-01	5.273459e-01	5.273459e-01
78            	bottom	5.273599e-01	5.273599e-01	5.273599e-01
78            	top	5.273504e-01	5.273504e-01	5.273504e-01
