y,U_0,U_1,U_2
0.236236,12.3078,-3.60412e-09,1.45426e-18
0.238238,12.328,-3.32789e-09,1.53111e-18
0.24024,12.3482,-3.05744e-09,2.07367e-18
0.242242,12.3684,-2.82934e-09,6.03153e-18
0.244244,12.3886,-2.60124e-09,9.98938e-18
0.246246,12.4089,-2.37313e-09,1.39472e-17
0.248248,12.4291,-2.14503e-09,1.79051e-17
0.25025,12.4491,-1.92155e-09,2.15451e-17
0.252252,12.468,-1.73048e-09,2.29599e-17
0.254254,12.4869,-1.53941e-09,2.43748e-17
0.256256,12.5057,-1.34834e-09,2.57897e-17
0.258258,12.5246,-1.15727e-09,2.72046e-17
0.26026,12.5435,-9.66199e-10,2.86195e-17
0.262262,12.5624,-7.75128e-10,3.00343e-17
0.264264,12.5812,-5.84057e-10,3.14492e-17
0.266266,12.6001,-3.92986e-10,3.28641e-17
0.268268,12.619,-2.01915e-10,3.4279e-17
0.27027,12.6379,-1.08445e-11,3.56938e-17
0.272272,12.6567,1.80226e-10,3.71087e-17
0.274274,12.6748,2.48065e-10,3.73707e-17
0.276276,12.6926,2.7966e-10,3.72935e-17
0.278278,12.7105,3.11254e-10,3.72163e-17
0.28028,12.7283,3.40746e-10,3.78009e-17
0.282282,12.7461,3.57322e-10,4.24502e-17
0.284284,12.764,3.73897e-10,4.70995e-17
0.286286,12.7815,4.20899e-10,5.03018e-17
0.288288,12.7982,5.43965e-10,4.98866e-17
0.29029,12.815,6.67031e-10,4.94714e-17
0.292292,12.8318,7.90097e-10,4.90562e-17
0.294294,12.8485,9.13162e-10,4.8641e-17
0.296296,12.8653,1.03623e-09,4.82258e-17
0.298298,12.882,1.15929e-09,4.78105e-17
0.3003,12.8988,1.28236e-09,4.73953e-17
0.302302,12.9156,1.40543e-09,4.69801e-17
0.304304,12.9323,1.52849e-09,4.65649e-17
0.306306,12.9491,1.65156e-09,4.61497e-17
0.308308,12.9658,1.77462e-09,4.57345e-17
0.31031,12.9826,1.89769e-09,4.53193e-17
0.312312,12.9994,2.02076e-09,4.49041e-17
0.314314,13.0161,2.14382e-09,4.44889e-17
0.316316,13.0329,2.26689e-09,4.40737e-17
0.318318,13.0496,2.38719e-09,4.33305e-17
0.32032,13.0655,2.46799e-09,3.88413e-17
0.322322,13.081,2.55865e-09,3.71704e-17
0.324324,13.096,2.67295e-09,3.42018e-17
0.326326,13.1111,2.78726e-09,3.12332e-17
0.328328,13.1261,2.90156e-09,2.82646e-17
0.33033,13.1411,3.01587e-09,2.5296e-17
0.332332,13.1562,3.13017e-09,2.23274e-17
0.334334,13.1713,3.24606e-09,1.94132e-17
0.336336,13.1865,3.36355e-09,1.65534e-17
0.338338,13.2017,3.48103e-09,1.36937e-17
0.34034,13.217,3.59852e-09,1.08339e-17
0.342342,13.2322,3.716e-09,7.9742e-18
0.344344,13.2474,3.83348e-09,5.11445e-18
0.346346,13.2626,3.95097e-09,2.2547e-18
0.348348,13.2778,4.06845e-09,-6.05043e-19
0.35035,13.2931,4.18594e-09,-3.46479e-18
0.352352,13.3083,4.30342e-09,-6.32454e-18
0.354354,13.3235,4.4209e-09,-9.18428e-18
0.356356,13.3387,4.53839e-09,-1.2044e-17
0.358358,13.3534,4.69887e-09,-1.50556e-17
0.36036,13.3677,4.87404e-09,-1.85271e-17
0.362362,13.3821,4.98938e-09,-2.36467e-17
0.364364,13.3962,5.09979e-09,-2.70187e-17
0.366366,13.4099,5.20159e-09,-2.73325e-17
0.368368,13.4236,5.3034e-09,-2.76464e-17
0.37037,13.4373,5.4052e-09,-2.79602e-17
0.372372,13.4511,5.50701e-09,-2.8274e-17
0.374374,13.4648,5.60881e-09,-2.85879e-17
0.376376,13.4785,5.71062e-09,-2.89017e-17
0.378378,13.4922,5.81242e-09,-2.92155e-17
0.38038,13.506,5.91422e-09,-2.95293e-17
0.382382,13.5197,6.01603e-09,-2.98432e-17
0.384384,13.5334,6.11783e-09,-3.0157e-17
0.386386,13.5472,6.21964e-09,-3.04708e-17
0.388388,13.5609,6.32144e-09,-3.07846e-17
0.39039,13.5746,6.42325e-09,-3.10985e-17
0.392392,13.5883,6.52505e-09,-3.14123e-17
0.394394,13.6015,6.6675e-09,-2.71704e-17
0.396396,13.6144,6.82224e-09,-2.15512e-17
0.398398,13.6274,6.97698e-09,-1.5932e-17
0.4004,13.6403,7.11913e-09,-1.0585e-17
0.402402,13.6533,7.21094e-09,-6.32645e-18
0.404404,13.6663,7.30274e-09,-2.06792e-18
0.406406,13.6792,7.39454e-09,2.19061e-18
0.408408,13.6922,7.48634e-09,6.44913e-18
0.41041,13.7048,7.57567e-09,9.76854e-18
0.412412,13.7172,7.66372e-09,1.26022e-17
0.414414,13.7296,7.75177e-09,1.54358e-17
0.416416,13.7421,7.83982e-09,1.82695e-17
0.418418,13.7545,7.92787e-09,2.11031e-17
0.42042,13.7669,8.01592e-09,2.39368e-17
0.422422,13.7793,8.10397e-09,2.67704e-17
0.424424,13.7918,8.19202e-09,2.96041e-17
0.426426,13.8042,8.28007e-09,3.24377e-17
0.428428,13.8166,8.36812e-09,3.52714e-17
0.43043,13.8284,8.49383e-09,3.55186e-17
0.432432,13.8402,8.62244e-09,3.55668e-17
0.434434,13.8519,8.75104e-09,3.5615e-17
0.436436,13.8637,8.87965e-09,3.56632e-17
0.438438,13.8754,9.00825e-09,3.57114e-17
0.44044,13.8872,9.12515e-09,3.62493e-17
0.442442,13.8989,9.20055e-09,3.85234e-17
0.444444,13.9107,9.27595e-09,4.07975e-17
0.446446,13.9224,9.35135e-09,4.30716e-17
0.448448,13.9342,9.42675e-09,4.53457e-17
0.45045,13.9459,9.50215e-09,4.76197e-17
0.452452,13.9577,9.57754e-09,4.98938e-17
0.454454,13.9694,9.65294e-09,5.21679e-17
0.456456,13.9807,9.73024e-09,5.26991e-17
0.458458,13.992,9.80763e-09,5.31473e-17
0.46046,14.0033,9.88503e-09,5.35955e-17
0.462462,14.0145,9.96242e-09,5.40438e-17
0.464464,14.0258,1.00422e-08,5.4279e-17
0.466466,14.0364,1.01464e-08,5.23419e-17
0.468468,14.0471,1.02506e-08,5.04048e-17
0.47047,14.0577,1.03548e-08,4.84677e-17
0.472472,14.0684,1.04591e-08,4.65306e-17
0.474474,14.079,1.05633e-08,4.45935e-17
0.476476,14.0897,1.06675e-08,4.26564e-17
0.478478,14.1004,1.07717e-08,4.07193e-17
0.48048,14.111,1.08654e-08,3.89367e-17
0.482482,14.1217,1.09257e-08,3.76432e-17
0.484484,14.1323,1.09861e-08,3.63498e-17
0.486486,14.143,1.10464e-08,3.50564e-17
0.488488,14.1536,1.11068e-08,3.37629e-17
0.49049,14.1643,1.11671e-08,3.24695e-17
0.492492,14.1749,1.12275e-08,3.11761e-17
0.494494,14.1856,1.12878e-08,2.98826e-17
0.496496,14.1963,1.13482e-08,2.85892e-17
0.498498,14.2069,1.14085e-08,2.72958e-17
0.500501,14.2173,1.14744e-08,2.61979e-17
0.502503,14.227,1.15567e-08,2.56866e-17
0.504505,14.2366,1.1639e-08,2.51753e-17
0.506507,14.2463,1.17214e-08,2.4664e-17
0.508509,14.2559,1.18037e-08,2.41528e-17
0.510511,14.2656,1.1886e-08,2.36415e-17
0.512513,14.2752,1.19683e-08,2.31302e-17
0.514515,14.2849,1.20506e-08,2.26189e-17
0.516517,14.2945,1.2133e-08,2.21076e-17
0.518519,14.3042,1.22153e-08,2.15963e-17
0.520521,14.3138,1.22883e-08,2.06842e-17
0.522523,14.3235,1.23348e-08,1.86312e-17
0.524525,14.3331,1.23813e-08,1.65782e-17
0.526527,14.3428,1.24278e-08,1.45252e-17
0.528529,14.3524,1.24743e-08,1.24722e-17
0.530531,14.3621,1.25208e-08,1.04193e-17
0.532533,14.3717,1.25673e-08,8.36626e-18
0.534535,14.3814,1.26137e-08,6.31327e-18
0.536537,14.3908,1.26624e-08,5.11332e-18
0.538539,14.3999,1.27142e-08,5.1373e-18
0.540541,14.409,1.2766e-08,5.16128e-18
0.542543,14.4182,1.28178e-08,5.18527e-18
0.544545,14.4273,1.28696e-08,5.20925e-18
0.546547,14.4362,1.29274e-08,5.54484e-18
0.548549,14.4449,1.29901e-08,6.14009e-18
0.550551,14.4536,1.30529e-08,6.73534e-18
0.552553,14.4623,1.31157e-08,7.3306e-18
0.554555,14.471,1.31785e-08,7.92585e-18
0.556557,14.4797,1.32413e-08,8.52111e-18
0.558559,14.4884,1.3304e-08,9.11636e-18
0.560561,14.4971,1.33587e-08,9.7989e-18
0.562563,14.5058,1.33923e-08,1.07059e-17
0.564565,14.5146,1.34259e-08,1.16128e-17
0.566567,14.5233,1.34596e-08,1.25198e-17
0.568569,14.532,1.34932e-08,1.34268e-17
0.570571,14.5407,1.35268e-08,1.43337e-17
0.572573,14.5491,1.35589e-08,1.46967e-17
0.574575,14.5573,1.35898e-08,1.46516e-17
0.576577,14.5655,1.36208e-08,1.46065e-17
0.578579,14.5737,1.36517e-08,1.45614e-17
0.580581,14.5819,1.36826e-08,1.45164e-17
0.582583,14.5901,1.37135e-08,1.44713e-17
0.584585,14.5983,1.37445e-08,1.44262e-17
0.586587,14.6065,1.37754e-08,1.43811e-17
0.588589,14.6147,1.38063e-08,1.43361e-17
0.590591,14.6229,1.38372e-08,1.4291e-17
0.592593,14.6307,1.38803e-08,1.4196e-17
0.594595,14.6385,1.39257e-08,1.40916e-17
0.596597,14.6463,1.39711e-08,1.39872e-17
0.598599,14.6541,1.40164e-08,1.38828e-17
0.600601,14.6619,1.40547e-08,1.39997e-17
0.602603,14.6697,1.40763e-08,1.4633e-17
0.604605,14.6775,1.4098e-08,1.52662e-17
0.606607,14.6853,1.41197e-08,1.58995e-17
0.608609,14.6928,1.41346e-08,1.55152e-17
0.610611,14.7001,1.41471e-08,1.47586e-17
0.612613,14.7074,1.41595e-08,1.4002e-17
0.614615,14.7147,1.4172e-08,1.32454e-17
0.616617,14.722,1.41845e-08,1.24888e-17
0.618619,14.7293,1.41969e-08,1.17322e-17
0.620621,14.7366,1.42094e-08,1.09756e-17
0.622623,14.7439,1.42219e-08,1.0219e-17
0.624625,14.7513,1.42343e-08,9.46236e-18
0.626627,14.7586,1.42468e-08,8.70576e-18
0.628629,14.7659,1.42593e-08,7.94916e-18
0.630631,14.7732,1.42717e-08,7.19256e-18
0.632633,14.7805,1.42842e-08,6.43596e-18
0.634635,14.7878,1.42967e-08,5.67936e-18
0.636637,14.7951,1.43115e-08,4.97755e-18
0.638639,14.802,1.43414e-08,4.62277e-18
0.640641,14.8089,1.4365e-08,3.8742e-18
0.642643,14.8158,1.43754e-08,2.28884e-18
0.644645,14.8223,1.4373e-08,2.48911e-18
0.646647,14.8288,1.4369e-08,2.90366e-18
0.648649,14.8352,1.43651e-08,3.31822e-18
0.650651,14.8417,1.43611e-08,3.73277e-18
0.652653,14.8481,1.43571e-08,4.14732e-18
0.654655,14.8546,1.43532e-08,4.56187e-18
0.656657,14.861,1.43492e-08,4.97642e-18
0.658659,14.8675,1.43452e-08,5.39097e-18
0.660661,14.8739,1.43413e-08,5.80552e-18
0.662663,14.8804,1.43373e-08,6.22007e-18
0.664665,14.8868,1.43333e-08,6.63462e-18
0.666667,14.8933,1.43294e-08,7.04917e-18
0.668669,14.8999,1.43267e-08,7.4113e-18
0.670671,14.9064,1.43241e-08,7.77342e-18
0.672673,14.913,1.43215e-08,8.13554e-18
0.674675,14.9195,1.43188e-08,8.49767e-18
0.676677,14.9261,1.43162e-08,8.85979e-18
0.678679,14.9326,1.43128e-08,9.43857e-18
0.680681,14.9387,1.42866e-08,1.22596e-17
0.682683,14.9446,1.42551e-08,1.19697e-17
0.684685,14.9503,1.42375e-08,1.16359e-17
0.686687,14.956,1.42198e-08,1.13021e-17
0.688689,14.9617,1.42021e-08,1.09684e-17
0.690691,14.9674,1.41844e-08,1.06346e-17
0.692693,14.9731,1.41668e-08,1.03008e-17
0.694695,14.9788,1.41491e-08,9.96707e-18
0.696697,14.9845,1.41314e-08,9.6333e-18
0.698699,14.9902,1.41137e-08,9.29954e-18
0.700701,14.996,1.4096e-08,8.96577e-18
0.702703,15.0017,1.40784e-08,8.63201e-18
0.704705,15.0074,1.40607e-08,8.29824e-18
0.706707,15.0131,1.4043e-08,7.96448e-18
0.708709,15.0188,1.40253e-08,7.63071e-18
0.710711,15.0245,1.40077e-08,7.29695e-18
0.712713,15.0302,1.399e-08,6.96318e-18
0.714715,15.0358,1.3968e-08,6.50598e-18
0.716717,15.0411,1.39305e-08,5.59615e-18
0.718719,15.0463,1.38929e-08,4.68633e-18
0.720721,15.0515,1.38486e-08,1.77946e-18
0.722723,15.0568,1.37922e-08,-4.67772e-18
0.724725,15.062,1.37358e-08,-1.11349e-17
0.726727,15.0673,1.36794e-08,-1.75921e-17
0.728729,15.0722,1.36413e-08,-2.01742e-17
0.730731,15.0771,1.36099e-08,-2.13033e-17
0.732733,15.082,1.35786e-08,-2.24323e-17
0.734735,15.0869,1.35473e-08,-2.35613e-17
0.736737,15.0918,1.35159e-08,-2.46903e-17
0.738739,15.0967,1.34846e-08,-2.58194e-17
0.740741,15.1015,1.34533e-08,-2.69484e-17
0.742743,15.1064,1.34219e-08,-2.80774e-17
0.744745,15.1113,1.33906e-08,-2.92064e-17
0.746747,15.1162,1.33593e-08,-3.03355e-17
0.748749,15.1211,1.33279e-08,-3.14645e-17
0.750751,15.1258,1.32878e-08,-2.97133e-17
0.752753,15.1302,1.32329e-08,-2.31617e-17
0.754755,15.1346,1.31781e-08,-1.66101e-17
0.756757,15.1391,1.31232e-08,-1.00585e-17
0.758759,15.1435,1.30684e-08,-3.50689e-18
0.760761,15.1479,1.3008e-08,-7.55053e-19
0.762763,15.1524,1.29386e-08,-4.20284e-18
0.764765,15.1568,1.28692e-08,-7.65062e-18
0.766767,15.1612,1.27997e-08,-1.10984e-17
0.768769,15.1657,1.27303e-08,-1.45462e-17
0.770771,15.1701,1.26609e-08,-1.7994e-17
0.772773,15.1745,1.25921e-08,-2.13474e-17
0.774775,15.1786,1.25481e-08,-2.06454e-17
0.776777,15.1827,1.25042e-08,-1.99434e-17
0.778779,15.1867,1.24603e-08,-1.92414e-17
0.780781,15.1908,1.24163e-08,-1.85394e-17
0.782783,15.1949,1.23724e-08,-1.78374e-17
0.784785,15.199,1.23284e-08,-1.71354e-17
0.786787,15.2028,1.22702e-08,-1.38551e-17
0.788789,15.2065,1.21995e-08,-8.34029e-18
0.790791,15.2101,1.21288e-08,-2.82549e-18
0.792793,15.2137,1.20581e-08,2.68932e-18
